Surname;First name;Cl.name;Class;Time;Pl;Points;SOL1;SOL2;SOL3;SOL4;Sum;Average;ID
Groff;Žiga;OK Azimut;M18;;;;;;25;;25;25;483
Obid;Aljaž;OK Azimut;M18;;;;;;;;0;0;846
Turk;Nejc;OK Komenda;M18;;;;;;*;;0;0;701
Štifter;Matevž;OK Slovenj Gradec;M18;;;;;;;;0;0;956
Dudić;Marko;OK Slovenj Gradec;M21;1:43:46;1;25;25;;25;25;75;25;467
Andrejc;Žiga;OK Slovenj Gradec;M21;1:49:57;2;20;15;;15;20;50;17;470
Andrejc;Gregor;OK Slovenj Gradec;M21;2:06:55;6;8;12;;7;8;27;9;214
Pritržnik;Tomaž;OK Slovenj Gradec;M21;;;;20;;5;;25;12;957
Šalamun;Miro;OK Polaris;M21;2:04:29;5;10;7;;6;10;23;8;2
Zorman;Jernej;OK Komenda;M21;;;;;;20;;20;20;276
Raj;Gregor;OK Slovenj Gradec;M21;1:58:12;4;12;;;8;12;20;10;282
Bauman;Boris;MOK;M21;1:57:30;3;15;;;;15;15;15;62
Zmrzlikar;Jure;OK Komenda;M21;;;;;;12;;12;12;72
Petrovič;Blaž;OK Polaris;M21;;;;;;10;;10;10;70
Andrejc;Hinko;OK Slovenj Gradec;M21;;;;10;;;;10;10;230
Cankar;Uroš;ŠOK;M21;2:49:00;7;7;;;2;7;9;4;1034
Kölner;Blaž;OK Komenda;M21;;;;8;;;;8;8;556
Andrejc;Klemen;OK Slovenj Gradec;M21;;;;6;;;;6;6;216
Eržen;Valentin;OK Azimut;M21;;;;5;;;;5;5;386
Obid;Marko;OK Azimut;M21;;;;;;4;;4;4;392
Andrejc;David;OK Slovenj Gradec;M21;mp;;;4;;;-;4;4;289
Šuc;Timotej;OK Komenda;M21;mp;;;1;;3;-;4;2;946
Jarc;Andrej;OK Komenda;M21;;;;3;;-;;3;3;1086
Zanoškar;Marko;OK Slovenj Gradec;M21;;;;2;;;;2;2;640
Cesar;Jaka;OK Slovenj Gradec;M21;;;;1;;1;;2;1;1043
Pogorelčnik;Primož;OK Slovenj Gradec;M21;;;;1;;;;1;1;854
Kenda;Klemen;OK Azimut;M21;;;;;;;;0;0;1
Tušar;Peter;OK Azimut;M21;;;;;;;;0;0;419
Hvala;Gregor;OK Azimut;M21;;;;;;;;0;0;424
Drešček;Andraž;OK Azimut;M21;;;;;;;;0;0;481
Stanonik;Simon;OK Azimut;M21;;;;;;;;0;0;620
Jeraj;Blaž;OK Komenda;M21;;;;;;-;;0;0;909
Petrovič;Gašper;OK Polaris;M21;;;;;;;;0;0;71
Škarabot;Matej;OK Polaris;M21;;;;;;;;0;0;132
Šalamun;Jan;OK Polaris;M21;;;;;;;;0;0;150
Cokan;Samo;OK Slovenj Gradec;M21;;;;;;;;0;0;217
Marot;Blaž;OK Slovenj Gradec;M21;mp;;;-;;;-;0;0;290
Štern;Nejc;OK Slovenj Gradec;M21;;;;;;;;0;0;1102
Pust;Tomaž;OK Komenda;M45;1:11:47;2;20;20;12;20;20;60;20;893
Petrovič;Dušan;OK Polaris;M45;;;;25;20;*;;45;22;69
Škarabot;Miha;OK Polaris;M45;1:11:23;1;25;;;15;25;40;20;54
Zupan;Gregor;OK Komenda;M45;1:18:46;4;12;-;15;;12;27;14;712
Gavrilov;Igor;OK Komenda;M45;;;;-;25;;;25;25;967
Miheljak;Blaž;OK Slovenj Gradec;M45;wrongKat;;;;;25;*;25;25;283
Bončina;Igor;OK Slovenske Konjice;M45;;;;15;8;;;23;12;98
Eržen;Boris;ŠOK;M45;;;;;10;12;;22;11;559
Foški;Valter;OK Polaris;M45;1:12:01;3;15;;;;15;15;15;58
Malus;Franc;OK Komenda;M45;1:29:00;5;10;;;-;10;10;10;904
Jazbar;Jožko;OK Azimut;M45;;;;;;;;0;0;106
Poljanšek;Aleš;OK Azimut;M45;;;;;;;;0;0;176
Kurinčič;Simon;OK Komenda;M45;;;;;;;;0;0;838
Babič;Silvo;OK Komenda;M45;;;;;;;;0;0;914
Kmetič;Sandi;OK Polaris;M45;;;;;;;;0;0;67
Benko;Robert;OK Polaris;M45;;;;;;;;0;0;151
Cimerman;Andrej;OK Polaris;M45;;;;;;;;0;0;444
Sladič;Roman;ŠOK;M45;;;;*;;;;0;0;39
Vodovnik;Mirko;OK Slovenj Gradec;M60;1:59:44;1;25;;;;25;25;25;288
Jeraj;Mija;OK Komenda;Ž10;;;;25;20;20;;65;22;1040
Šuc;Teja;OK Komenda;Ž10;0:30:45;1;25;15;25;15;25;65;22;1001
Raj;Ida Antonija;OK Slovenj Gradec;Ž10;0:38:13;3;15;20;15;-;15;50;17;1105
Markovič;Inga;OK Slovenj Gradec;Ž10;0:37:58;2;20;12;-;-;20;32;16;1125
Kurinčič;Jerca;OK Komenda;Ž10;;;;;;25;;25;25;996
Raj;Ema Pika;OK Slovenj Gradec;Ž14;0:37:07;2;20;25;12;20;20;65;22;853
Obid;Neža;OK Azimut;Ž14;;;;15;15;25;;55;18;847
Raj;Lili Ivana;OK Slovenj Gradec;Ž14;0:30:40;1;25;10;8;6;25;43;14;949
Eržen;Nika;OK Azimut;Ž14;;;;20;6;10;;36;12;984
Jeraj;Ajda;OK Komenda;Ž14;;;;-;20;15;;35;18;896
Andrejc;Miša;OK Slovenj Gradec;Ž14;0:42:27;3;15;;;12;15;27;14;1016
Jarc;Ajda;OK Komenda;Ž14;;;;12;7;7;;26;9;1029
Eržen;Nea;OK Azimut;Ž14;;;;-;25;;;25;25;597
Kölner;Brina;OK Komenda;Ž14;;;;-;10;8;;18;9;803
Mezga;Frida;OK Slovenj Gradec;Ž14;mp;;;-;5;;-;5;5;979
Majdič;Špela;OK Azimut;Ž14;;;;;;;;0;0;987
Lenart;Vilina;OK Slovenj Gradec;Ž14;;;;;;;;0;0;1066
Kovše;Klara;OK Slovenj Gradec;Ž14;;;;;;;;0;0;1104
Malus;Vita;OK Komenda;Ž16;;;;;;25;;25;25;898
Balažič;Petja;OK Slovenj Gradec;Ž21;1:24:30;1;25;25;20;20;25;70;23;294
Šalamun;Ana;OK Polaris;Ž21;1:34:57;3;15;20;25;15;15;60;20;332
Flerin Drevenšek;Mojca;Kamniški OK;Ž21;1:34:11;2;20;;;25;20;45;22;82
Raj;Nastja;OK Slovenj Gradec;Ž21;1:52:54;6;8;15;15;12;8;42;14;203
Šoster;Katka;OK Slovenj Gradec;Ž21;1:43:52;4;12;10;10;8;12;32;11;1091
Močnik;Tina;OK Komenda;Ž21;;;;12;8;10;;30;10;1032
Plavčak;Ana;ŠOK;Ž21;;;;;12;7;;19;10;401
Visinski Andrejc;Maja;OK Slovenj Gradec;Ž21;1:51:51;5;10;;;6;10;16;8;229
Hacin Kölner;Irena;OK Komenda;Ž21;;;;7;7;*;;14;7;630
Bogataj;Špela;OK Komenda;Ž21;;;;5;5;-;;10;5;1022
Pribaković Borštnik;Ana;OK Tivoli;Ž21;;;;8;;;;8;8;23
Gombač Šuc;Elena;OK Komenda;Ž21;;;;6;-;*;;6;6;945
Prasnic;Žana;OK Slovenj Gradec;Ž21;;;;-;6;;;6;6;638
Malus;Marta;OK Komenda;Ž21;;;;;;5;;5;5;982
Istenič;Maja;OK Azimut;Ž21;;;;4;;*;;4;4;930
Poljanšek;Nika;OK Azimut;Ž21;;;;;;;;0;0;257
Jeram;Nuša;OK Azimut;Ž21;;;;;;;;0;0;421
Tušar;Teja;OK Azimut;Ž21;;;;;;;;0;0;735
Obid;Maja;OK Azimut;Ž21;;;;;;*;;0;0;933
Ravnikar;Monika;OK Komenda;Ž21;;;;;;;;0;0;357
Babič;Katja;OK Komenda;Ž21;;;;;;;;0;0;818
Paradiž;Petra;OK Komenda;Ž21;;;;;;;;0;0;912
Osterman;Eneja;OK Polaris;Ž21;;;;;;;;0;0;66
Sluga;Neža;OK Polaris;Ž21;;;;;;;;0;0;1096
Mihelič Pogorelčnik;Anja;OK Slovenj Gradec;Ž21;;;;;;;;0;0;1015
Bončina;Abigael Vanessa;OK Slovenske Konjice;Ž21;;;;;;;;0;0;931
Zupan;Romana;OK Komenda;Ž45;;;;25;15;25;;65;22;713
Kordiš Miheljak;Urška;OK Slovenj Gradec;Ž45;1:02:27;1;25;;20;20;25;65;22;465
Balažič;Irena;OK Slovenj Gradec;Ž45;;;;20;10;15;;45;15;298
Mezga;Tanja;OK Slovenj Gradec;Ž45;1:48:46;2;20;10;12;-;20;42;14;639
Pogorevčnik;Olga;OK Slovenj Gradec;Ž45;;;;12;25;;;37;18;958
Stojan;Petra;OK Komenda;Ž45;2:34:35;3;15;;;;15;15;15;892
Fras;Tina;OK Slovenj Gradec;Ž45;;;;15;;;;15;15;1000
Vuga Seljak;Alenka;OK Komenda;Ž45;;;;;;12;;12;12;612
